@relation 'fullCSV.arff_fullCSV.arff-weka.filters.unsupervised.attribute.Remove-V-R20,21,22_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.RemoveWithValues-S14.0-C4-Lfirst-last-V'

@attribute DayOfWeek numeric
@attribute TimeOfDay numeric
@attribute HourSinceStart numeric
@attribute DaySinceStart numeric
@attribute ScaledTime numeric
@attribute IP_Address string
@attribute IP_AsRank numeric
@attribute IP_AsScaledRank numeric
@attribute IP_AsAttackCount numeric
@attribute IP_AsRandomInt numeric
@attribute Port numeric
@attribute PortNormalised numeric
@attribute Uname string
@attribute UName_AsRank numeric
@attribute Uname_AsScaledRank numeric
@attribute UName_AsCount numeric
@attribute UName_AsRandomInt numeric
@attribute Country string
@attribute City string
@attribute Loc_X numeric
@attribute Loc_Y numeric
@attribute Loc_Z numeric
@attribute 0.743Loc_Y+0.643Loc_X-0.186Loc_Z numeric
@attribute 0.857Loc_Z+0.476Loc_X-0.198Loc_Y numeric
@attribute '-0.639Loc_Y+0.6  Loc_X-0.481Loc_Z' numeric

@data
2,16,0,0,0.000186,221.194.44.224,0.023881,0.878078,0.041039,0.429567,56134,0.854831,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132
2,16,0,0,0.000189,221.194.44.224,0.023881,0.878078,0.041039,0.429567,59471,0.906598,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132
2,16,0,0,0.000191,221.194.44.224,0.023881,0.878078,0.041039,0.429567,60055,0.915657,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132
2,16,0,0,0.000194,221.194.44.224,0.023881,0.878078,0.041039,0.429567,32951,0.495199,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132
2,16,0,0,0.000196,221.194.44.224,0.023881,0.878078,0.041039,0.429567,35414,0.533407,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132
2,16,0,0,0.000196,121.18.238.104,0.021891,0.875237,0.042993,0.970134,38172,0.576191,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132
2,16,0,0,0.000198,221.194.44.224,0.023881,0.878078,0.041039,0.429567,38584,0.582582,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132
2,16,0,0,0.000198,121.18.238.104,0.021891,0.875237,0.042993,0.970134,39034,0.589563,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132
2,16,0,0,0.0002,221.194.44.224,0.023881,0.878078,0.041039,0.429567,36282,0.546872,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132
2,16,0,0,0.000201,121.18.238.104,0.021891,0.875237,0.042993,0.970134,41130,0.622078,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132
2,16,0,0,0.000203,221.194.44.224,0.023881,0.878078,0.041039,0.429567,37047,0.558739,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132
2,16,0,0,0.000203,121.18.238.104,0.021891,0.875237,0.042993,0.970134,39892,0.602873,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132
2,16,0,0,0.000205,121.18.238.104,0.021891,0.875237,0.042993,0.970134,38859,0.586848,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132
2,16,0,0,0.000207,121.18.238.104,0.021891,0.875237,0.042993,0.970134,38784,0.585685,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132
2,16,0,0,0.000209,121.18.238.104,0.021891,0.875237,0.042993,0.970134,36029,0.542947,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132
2,16,0,0,0.000211,121.18.238.104,0.021891,0.875237,0.042993,0.970134,37608,0.567442,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132
2,16,0,0,0.000214,121.18.238.104,0.021891,0.875237,0.042993,0.970134,39662,0.599305,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132
2,16,0,0,0.000216,121.18.238.104,0.021891,0.875237,0.042993,0.970134,41000,0.620061,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132
2,16,0,0,0.000218,121.18.238.104,0.021891,0.875237,0.042993,0.970134,38601,0.582846,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132
2,16,0,0,0.00022,121.18.238.104,0.021891,0.875237,0.042993,0.970134,38159,0.575989,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132
2,16,0,0,0.000222,121.18.238.104,0.021891,0.875237,0.042993,0.970134,39988,0.604362,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132
2,16,0,0,0.000231,116.31.116.38,0,0,1,0.780488,14405,0.207499,root,0,0,1,0.093379,China,Shenzhen,0.281502,0.131181,0.243508,0.117732,0.25498,0.688876
2,16,0,0,0.000235,221.194.47.249,0.024876,0.87941,0.037705,0.279741,59372,0.905062,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132
2,16,0,0,0.000238,221.194.47.249,0.024876,0.87941,0.037705,0.279741,59313,0.904147,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132
2,16,0,0,0.00024,221.194.47.249,0.024876,0.87941,0.037705,0.279741,59463,0.906473,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132
2,16,0,0,0.000242,221.194.47.249,0.024876,0.87941,0.037705,0.279741,60592,0.923987,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132
2,16,0,0,0.000244,221.194.47.249,0.024876,0.87941,0.037705,0.279741,36602,0.551836,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132
2,16,0,0,0.000247,221.194.47.249,0.024876,0.87941,0.037705,0.279741,40329,0.609652,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132
2,16,0,0,0.000253,116.31.116.38,0,0,1,0.780488,32615,0.489987,root,0,0,1,0.093379,China,Shenzhen,0.281502,0.131181,0.243508,0.117732,0.25498,0.688876
2,16,0,0,0.000277,116.31.116.38,0,0,1,0.780488,54079,0.822953,root,0,0,1,0.093379,China,Shenzhen,0.281502,0.131181,0.243508,0.117732,0.25498,0.688876
2,16,0,0,0.000299,116.31.116.38,0,0,1,0.780488,13740,0.197183,root,0,0,1,0.093379,China,Shenzhen,0.281502,0.131181,0.243508,0.117732,0.25498,0.688876
2,16,0,0,0.000316,59.45.175.32,0.016915,0.86682,0.055754,0.513688,43472,0.658409,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072
2,16,0,0,0.000324,116.31.116.38,0,0,1,0.780488,55106,0.838884,root,0,0,1,0.093379,China,Shenzhen,0.281502,0.131181,0.243508,0.117732,0.25498,0.688876
2,16,0,0,0.00033,59.45.175.32,0.016915,0.86682,0.055754,0.513688,55812,0.849836,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072
2,16,0,0,0.000342,59.45.175.32,0.016915,0.86682,0.055754,0.513688,17752,0.25942,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072
2,16,0,0,0.000347,116.31.116.38,0,0,1,0.780488,28121,0.420272,root,0,0,1,0.093379,China,Shenzhen,0.281502,0.131181,0.243508,0.117732,0.25498,0.688876
2,16,0,0,0.000356,59.45.175.32,0.016915,0.86682,0.055754,0.513688,62842,0.958891,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072
2,16,0,0,0.000371,59.45.175.32,0.016915,0.86682,0.055754,0.513688,26979,0.402557,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072
2,16,0,0,0.000371,59.45.175.32,0.016915,0.86682,0.055754,0.513688,26979,0.402557,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072
2,16,0,0,0.000387,112.74.63.26,0.072637,0.914393,0.003908,0.079642,47024,0.71351,ubuntu,0.003951,0.819385,0.003765,0.399704,China,Hangzhou,0.654408,0.653018,0.051239,0.776394,0.214195,0.670021
2,16,0,0,0.000486,112.74.63.26,0.072637,0.914393,0.003908,0.079642,43612,0.66058,ubuntu,0.003951,0.819385,0.003765,0.399704,China,Hangzhou,0.654408,0.653018,0.051239,0.776394,0.214195,0.670021
2,16,0,0,0.000568,59.45.175.32,0.016915,0.86682,0.055754,0.513688,61936,0.944837,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072
2,16,0,0,0.000576,116.31.116.38,0,0,1,0.780488,40549,0.613065,root,0,0,1,0.093379,China,Shenzhen,0.281502,0.131181,0.243508,0.117732,0.25498,0.688876
2,16,0,0,0.00058,59.45.175.32,0.016915,0.86682,0.055754,0.513688,61415,0.936754,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072
2,16,0,0,0.000587,112.74.63.26,0.072637,0.914393,0.003908,0.079642,43748,0.66269,ubuntu,0.003951,0.819385,0.003765,0.399704,China,Hangzhou,0.654408,0.653018,0.051239,0.776394,0.214195,0.670021
2,16,0,0,0.000593,59.45.175.32,0.016915,0.86682,0.055754,0.513688,50593,0.768875,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072
2,16,0,0,0.000599,116.31.116.38,0,0,1,0.780488,53395,0.812342,root,0,0,1,0.093379,China,Shenzhen,0.281502,0.131181,0.243508,0.117732,0.25498,0.688876
2,16,0,0,0.000606,59.45.175.32,0.016915,0.86682,0.055754,0.513688,30909,0.463522,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072
2,16,0,0,0.000607,59.45.175.32,0.016915,0.86682,0.055754,0.513688,30909,0.463522,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072
2,16,0,0,0.000621,59.45.175.32,0.016915,0.86682,0.055754,0.513688,62512,0.953772,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072
2,16,0,0,0.000642,116.31.116.38,0,0,1,0.780488,31490,0.472535,root,0,0,1,0.093379,China,Shenzhen,0.281502,0.131181,0.243508,0.117732,0.25498,0.688876
2,16,0,0,0.000667,116.31.116.38,0,0,1,0.780488,18441,0.270108,root,0,0,1,0.093379,China,Shenzhen,0.281502,0.131181,0.243508,0.117732,0.25498,0.688876
2,16,0,0,0.000689,116.31.116.38,0,0,1,0.780488,26457,0.394459,root,0,0,1,0.093379,China,Shenzhen,0.281502,0.131181,0.243508,0.117732,0.25498,0.688876
2,16,0,0,0.00071,221.194.47.211,0.016418,0.865846,0.055868,0.090095,40978,0.61972,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132
2,16,0,0,0.000711,116.31.116.38,0,0,1,0.780488,60527,0.922979,root,0,0,1,0.093379,China,Shenzhen,0.281502,0.131181,0.243508,0.117732,0.25498,0.688876
2,16,0,0,0.000712,221.194.47.211,0.016418,0.865846,0.055868,0.090095,39947,0.603726,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132
2,16,0,0,0.000715,221.194.47.211,0.016418,0.865846,0.055868,0.090095,41248,0.623908,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132
2,16,0,0,0.000717,221.194.47.211,0.016418,0.865846,0.055868,0.090095,39307,0.593798,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132
2,16,0,0,0.000719,221.194.47.211,0.016418,0.865846,0.055868,0.090095,38218,0.576905,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132
2,16,0,0,0.000721,221.194.47.211,0.016418,0.865846,0.055868,0.090095,40863,0.617936,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132
2,16,0,0,0.000724,221.194.47.211,0.016418,0.865846,0.055868,0.090095,43087,0.652436,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132
2,16,0,0,0.000726,221.194.47.211,0.016418,0.865846,0.055868,0.090095,41083,0.621349,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132
2,16,0,0,0.000728,221.194.47.211,0.016418,0.865846,0.055868,0.090095,42194,0.638583,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132
2,16,0,0,0.000808,59.45.175.32,0.016915,0.86682,0.055754,0.513688,45847,0.695252,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072
2,16,0,0,0.00081,59.45.175.32,0.016915,0.86682,0.055754,0.513688,45847,0.695252,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072
2,16,0,0,0.000821,59.45.175.32,0.016915,0.86682,0.055754,0.513688,15541,0.225121,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072
2,16,0,0,0.000822,59.45.175.32,0.016915,0.86682,0.055754,0.513688,15541,0.225121,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072
2,16,0,0,0.000837,59.45.175.32,0.016915,0.86682,0.055754,0.513688,22554,0.333912,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072
2,16,0,0,0.000847,59.45.175.32,0.016915,0.86682,0.055754,0.513688,41990,0.635419,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072
2,16,0,0,0.000893,112.74.63.26,0.072637,0.914393,0.003908,0.079642,48814,0.741278,ubuntu,0.003951,0.819385,0.003765,0.399704,China,Hangzhou,0.654408,0.653018,0.051239,0.776394,0.214195,0.670021
2,16,0,0,0.000898,116.31.116.38,0,0,1,0.780488,28733,0.429766,root,0,0,1,0.093379,China,Shenzhen,0.281502,0.131181,0.243508,0.117732,0.25498,0.688876
2,16,0,0,0.00092,116.31.116.38,0,0,1,0.780488,54769,0.833657,root,0,0,1,0.093379,China,Shenzhen,0.281502,0.131181,0.243508,0.117732,0.25498,0.688876
2,16,0,0,0.000944,116.31.116.38,0,0,1,0.780488,21942,0.324419,root,0,0,1,0.093379,China,Shenzhen,0.281502,0.131181,0.243508,0.117732,0.25498,0.688876
2,16,0,0,0.00095,59.45.175.60,0.034328,0.889925,0.022761,0.03783,55012,0.837426,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072
2,16,0,0,0.000953,59.45.175.60,0.034328,0.889925,0.022761,0.03783,38682,0.584103,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072
2,16,0,0,0.000956,59.45.175.60,0.034328,0.889925,0.022761,0.03783,56055,0.853606,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072
2,16,0,0,0.00096,59.45.175.60,0.034328,0.889925,0.022761,0.03783,34651,0.521571,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072
2,16,0,0,0.000963,59.45.175.60,0.034328,0.889925,0.022761,0.03783,49668,0.754526,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072
2,16,0,0,0.000966,116.31.116.38,0,0,1,0.780488,43600,0.660394,root,0,0,1,0.093379,China,Shenzhen,0.281502,0.131181,0.243508,0.117732,0.25498,0.688876
2,16,0,0,0.000969,59.45.175.60,0.034328,0.889925,0.022761,0.03783,54091,0.823139,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072
2,16,0,0,0.00099,116.31.116.38,0,0,1,0.780488,14719,0.21237,root,0,0,1,0.093379,China,Shenzhen,0.281502,0.131181,0.243508,0.117732,0.25498,0.688876
2,16,0,0,0.000994,112.74.63.26,0.072637,0.914393,0.003908,0.079642,47274,0.717388,root,0,0,1,0.093379,China,Hangzhou,0.654408,0.653018,0.051239,0.776394,0.214195,0.670021
2,16,0,0,0.001014,116.31.116.38,0,0,1,0.780488,48779,0.740735,root,0,0,1,0.093379,China,Shenzhen,0.281502,0.131181,0.243508,0.117732,0.25498,0.688876
2,16,0,0,0.001035,59.45.175.32,0.016915,0.86682,0.055754,0.513688,31817,0.477607,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072
2,16,0,0,0.001048,59.45.175.32,0.016915,0.86682,0.055754,0.513688,20849,0.307463,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072
2,16,0,0,0.00106,59.45.175.32,0.016915,0.86682,0.055754,0.513688,42136,0.637684,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072
2,16,0,0,0.001061,59.45.175.32,0.016915,0.86682,0.055754,0.513688,42136,0.637684,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072
2,16,0,0,0.001073,59.45.175.32,0.016915,0.86682,0.055754,0.513688,32086,0.48178,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072
2,16,0,0,0.001086,59.45.175.32,0.016915,0.86682,0.055754,0.513688,23238,0.344523,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072
2,16,0,0,0.001094,112.74.63.26,0.072637,0.914393,0.003908,0.079642,60184,0.917658,ubuntu,0.003951,0.819385,0.003765,0.399704,China,Hangzhou,0.654408,0.653018,0.051239,0.776394,0.214195,0.670021
2,17,1,0,0.001236,116.31.116.38,0,0,1,0.780488,34926,0.525837,root,0,0,1,0.093379,China,Shenzhen,0.281502,0.131181,0.243508,0.117732,0.25498,0.688876
2,17,1,0,0.001261,116.31.116.38,0,0,1,0.780488,56704,0.863674,root,0,0,1,0.093379,China,Shenzhen,0.281502,0.131181,0.243508,0.117732,0.25498,0.688876
2,17,1,0,0.001273,59.45.175.32,0.016915,0.86682,0.055754,0.513688,23892,0.354669,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072
2,17,1,0,0.001282,116.31.116.38,0,0,1,0.780488,16013,0.232443,root,0,0,1,0.093379,China,Shenzhen,0.281502,0.131181,0.243508,0.117732,0.25498,0.688876
2,17,1,0,0.001286,59.45.175.32,0.016915,0.86682,0.055754,0.513688,33004,0.496021,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072
2,17,1,0,0.001296,112.74.63.26,0.072637,0.914393,0.003908,0.079642,57736,0.879683,ubuntu,0.003951,0.819385,0.003765,0.399704,China,Hangzhou,0.654408,0.653018,0.051239,0.776394,0.214195,0.670021
2,17,1,0,0.001297,59.45.175.32,0.016915,0.86682,0.055754,0.513688,39827,0.601865,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072
2,17,1,0,0.001304,116.31.116.38,0,0,1,0.780488,43033,0.651599,root,0,0,1,0.093379,China,Shenzhen,0.281502,0.131181,0.243508,0.117732,0.25498,0.688876
2,17,1,0,0.001312,59.45.175.32,0.016915,0.86682,0.055754,0.513688,17072,0.248871,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072
2,17,1,0,0.001324,59.45.175.32,0.016915,0.86682,0.055754,0.513688,59846,0.912415,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072
2,17,1,0,0.001325,59.45.175.32,0.016915,0.86682,0.055754,0.513688,59846,0.912415,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072
2,17,1,0,0.001327,116.31.116.38,0,0,1,0.780488,51319,0.780137,root,0,0,1,0.093379,China,Shenzhen,0.281502,0.131181,0.243508,0.117732,0.25498,0.688876
2,17,1,0,0.001332,59.45.175.66,0.008955,0.846058,0.100241,0.033848,50565,0.768441,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072
2,17,1,0,0.001335,59.45.175.66,0.008955,0.846058,0.100241,0.033848,40532,0.612801,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072
2,17,1,0,0.001338,59.45.175.66,0.008955,0.846058,0.100241,0.033848,56617,0.862324,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072
2,17,1,0,0.001343,59.45.175.66,0.008955,0.846058,0.100241,0.033848,42783,0.64772,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072
2,17,1,0,0.001346,59.45.175.66,0.008955,0.846058,0.100241,0.033848,44641,0.676543,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072
2,17,1,0,0.001349,59.45.175.66,0.008955,0.846058,0.100241,0.033848,56634,0.862588,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072
2,17,1,0,0.00135,116.31.116.38,0,0,1,0.780488,33320,0.500923,root,0,0,1,0.093379,China,Shenzhen,0.281502,0.131181,0.243508,0.117732,0.25498,0.688876
2,17,1,0,0.001395,112.74.63.26,0.072637,0.914393,0.003908,0.079642,55526,0.8454,ubuntu,0.003951,0.819385,0.003765,0.399704,China,Hangzhou,0.654408,0.653018,0.051239,0.776394,0.214195,0.670021
2,17,1,0,0.001448,182.23.93.141,0.116418,0.929793,0.001494,0.676456,39780,0.601136,root,0,0,1,0.093379,Indonesia,Jakarta,0.997006,0.50758,0.553924,0.836148,0.845181,0.805823
2,17,1,0,0.001449,182.23.93.141,0.116418,0.929793,0.001494,0.676456,39890,0.602842,root,0,0,1,0.093379,Indonesia,Jakarta,0.997006,0.50758,0.553924,0.836148,0.845181,0.805823
2,17,1,0,0.00145,182.23.93.141,0.116418,0.929793,0.001494,0.676456,40005,0.604626,root,0,0,1,0.093379,Indonesia,Jakarta,0.997006,0.50758,0.553924,0.836148,0.845181,0.805823
2,17,1,0,0.00145,182.23.93.141,0.116418,0.929793,0.001494,0.676456,40144,0.606782,root,0,0,1,0.093379,Indonesia,Jakarta,0.997006,0.50758,0.553924,0.836148,0.845181,0.805823
2,17,1,0,0.001452,182.23.93.141,0.116418,0.929793,0.001494,0.676456,40245,0.608349,root,0,0,1,0.093379,Indonesia,Jakarta,0.997006,0.50758,0.553924,0.836148,0.845181,0.805823
2,17,1,0,0.001453,182.23.93.141,0.116418,0.929793,0.001494,0.676456,40417,0.611017,root,0,0,1,0.093379,Indonesia,Jakarta,0.997006,0.50758,0.553924,0.836148,0.845181,0.805823
2,17,1,0,0.001454,182.23.93.141,0.116418,0.929793,0.001494,0.676456,40522,0.612646,root,0,0,1,0.093379,Indonesia,Jakarta,0.997006,0.50758,0.553924,0.836148,0.845181,0.805823
