@relation 'fullCSV.arff_fullCSV.arff-weka.filters.unsupervised.attribute.Remove-V-R20,21,22_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.RemoveWithValues-S4.0-C4-Lfirst-last-V_clustered'

@attribute Instance_number numeric
@attribute DayOfWeek numeric
@attribute TimeOfDay numeric
@attribute HourSinceStart numeric
@attribute DaySinceStart numeric
@attribute ScaledTime numeric
@attribute IP_Address string
@attribute IP_AsRank numeric
@attribute IP_AsScaledRank numeric
@attribute IP_AsAttackCount numeric
@attribute IP_AsRandomInt numeric
@attribute Port numeric
@attribute PortNormalised numeric
@attribute Uname string
@attribute UName_AsRank numeric
@attribute Uname_AsScaledRank numeric
@attribute UName_AsCount numeric
@attribute UName_AsRandomInt numeric
@attribute Country string
@attribute City string
@attribute Loc_X numeric
@attribute Loc_Y numeric
@attribute Loc_Z numeric
@attribute 0.743Loc_Y+0.643Loc_X-0.186Loc_Z numeric
@attribute 0.857Loc_Z+0.476Loc_X-0.198Loc_Y numeric
@attribute '-0.639Loc_Y+0.6  Loc_X-0.481Loc_Z' numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19}

@data
489,2,21,5,0,0.006424,116.31.116.38,0,0,1,0.780488,56450,0.859733,root,0,0,1,0.093379,China,Shenzhen,0.281502,0.131181,0.243508,0.117732,0.25498,0.688876,cluster0
490,2,21,5,0,0.00643,37.59.165.11,0.151244,0.938336,0.00092,0.022399,48252,0.73256,user,0.002963,0.809996,0.004846,0.543478,France,None,0.443277,0.558743,0.008367,0.569861,0.07362,0.60654,cluster1
491,2,21,5,0,0.006432,59.45.175.32,0.016915,0.86682,0.055754,0.513688,62776,0.957867,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
492,2,21,5,0,0.006442,59.45.175.32,0.016915,0.86682,0.055754,0.513688,16284,0.236647,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
493,2,21,5,0,0.006469,59.45.175.32,0.016915,0.86682,0.055754,0.513688,41318,0.624994,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
494,2,21,5,0,0.006472,116.31.116.38,0,0,1,0.780488,51375,0.781006,root,0,0,1,0.093379,China,Shenzhen,0.281502,0.131181,0.243508,0.117732,0.25498,0.688876,cluster0
495,2,21,5,0,0.006519,37.59.165.11,0.151244,0.938336,0.00092,0.022399,35174,0.529684,user,0.002963,0.809996,0.004846,0.543478,France,None,0.443277,0.558743,0.008367,0.569861,0.07362,0.60654,cluster1
496,2,21,6,0,0.006652,59.45.175.58,0.036318,0.891765,0.019542,0.903932,40551,0.613096,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
497,2,21,6,0,0.006655,59.45.175.58,0.036318,0.891765,0.019542,0.903932,51294,0.77975,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
498,2,21,6,0,0.006658,59.45.175.58,0.036318,0.891765,0.019542,0.903932,33480,0.503405,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
499,2,21,6,0,0.00666,59.45.175.32,0.016915,0.86682,0.055754,0.513688,47994,0.728557,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
500,2,21,6,0,0.006662,59.45.175.58,0.036318,0.891765,0.019542,0.903932,44208,0.669826,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
501,2,21,6,0,0.006665,59.45.175.58,0.036318,0.891765,0.019542,0.903932,57771,0.880226,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
502,2,21,6,0,0.006668,59.45.175.58,0.036318,0.891765,0.019542,0.903932,43693,0.661837,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
503,2,21,6,0,0.006673,59.45.175.32,0.016915,0.86682,0.055754,0.513688,27156,0.405302,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
504,2,21,6,0,0.006674,59.45.175.32,0.016915,0.86682,0.055754,0.513688,27156,0.405302,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
505,2,21,6,0,0.006684,59.45.175.32,0.016915,0.86682,0.055754,0.513688,19927,0.29316,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
506,2,21,6,0,0.006698,59.45.175.32,0.016915,0.86682,0.055754,0.513688,57946,0.882941,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
507,2,21,6,0,0.006698,59.45.175.32,0.016915,0.86682,0.055754,0.513688,57946,0.882941,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
508,2,22,6,0,0.006785,37.59.165.11,0.151244,0.938336,0.00092,0.022399,50250,0.763554,user01,0.26963,0.957221,0.000056,0.299407,France,None,0.443277,0.558743,0.008367,0.569861,0.07362,0.60654,cluster1
509,2,22,6,0,0.006794,121.29.112.143,0.949751,0.998317,0,0.199104,59946,0.913966,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132,cluster0
510,2,22,6,0,0.00686,42.7.26.15,0.024378,0.878751,0.038625,0.357889,59152,0.901649,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
511,2,22,6,0,0.006863,42.7.26.15,0.024378,0.878751,0.038625,0.357889,39916,0.603245,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
512,2,22,6,0,0.006866,42.7.26.15,0.024378,0.878751,0.038625,0.357889,37980,0.573213,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
513,2,22,6,0,0.00687,42.7.26.15,0.024378,0.878751,0.038625,0.357889,34334,0.516653,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
514,2,22,6,0,0.006874,37.59.165.11,0.151244,0.938336,0.00092,0.022399,36482,0.549974,root,0,0,1,0.093379,France,None,0.443277,0.558743,0.008367,0.569861,0.07362,0.60654,cluster0
515,2,22,6,0,0.006874,42.7.26.15,0.024378,0.878751,0.038625,0.357889,45318,0.687045,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
516,2,22,6,0,0.006877,42.7.26.15,0.024378,0.878751,0.038625,0.357889,38016,0.573771,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
517,2,22,6,0,0.006888,132.148.89.252,0.118905,0.930483,0.001379,0.15331,48215,0.731986,root,0,0,1,0.093379,United_States,Scottsdale,0.395576,0.225955,0.903605,0.173557,0.810852,0.458379,cluster0
518,2,22,6,0,0.006907,59.45.175.32,0.016915,0.86682,0.055754,0.513688,43125,0.653026,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
519,2,22,6,0,0.00692,59.45.175.32,0.016915,0.86682,0.055754,0.513688,52499,0.798443,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
520,2,22,6,0,0.006933,59.45.175.32,0.016915,0.86682,0.055754,0.513688,55173,0.839924,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
521,2,22,6,0,0.006933,132.148.89.252,0.118905,0.930483,0.001379,0.15331,37742,0.569521,root,0,0,1,0.093379,United_States,Scottsdale,0.395576,0.225955,0.903605,0.173557,0.810852,0.458379,cluster0
522,2,22,6,0,0.006947,59.45.175.32,0.016915,0.86682,0.055754,0.513688,64563,0.985589,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
523,2,22,6,0,0.006947,59.45.175.32,0.016915,0.86682,0.055754,0.513688,64563,0.985589,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
524,2,22,6,0,0.006963,37.59.165.11,0.151244,0.938336,0.00092,0.022399,49436,0.750927,root,0,0,1,0.093379,France,None,0.443277,0.558743,0.008367,0.569861,0.07362,0.60654,cluster0
525,2,22,6,0,0.006964,59.45.175.32,0.016915,0.86682,0.055754,0.513688,41283,0.624451,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
526,2,22,6,0,0.006978,132.148.89.252,0.118905,0.930483,0.001379,0.15331,55418,0.843724,root,0,0,1,0.093379,United_States,Scottsdale,0.395576,0.225955,0.903605,0.173557,0.810852,0.458379,cluster0
527,2,22,6,0,0.007023,132.148.89.252,0.118905,0.930483,0.001379,0.15331,44924,0.680933,root,0,0,1,0.093379,United_States,Scottsdale,0.395576,0.225955,0.903605,0.173557,0.810852,0.458379,cluster0
528,2,22,6,0,0.00705,37.59.165.11,0.151244,0.938336,0.00092,0.022399,33978,0.51113,vagrant,0.009877,0.849291,0.001621,0.462451,France,None,0.443277,0.558743,0.008367,0.569861,0.07362,0.60654,cluster1
529,2,22,6,0,0.007067,132.148.89.252,0.118905,0.930483,0.001379,0.15331,34482,0.518949,root,0,0,1,0.093379,United_States,Scottsdale,0.395576,0.225955,0.903605,0.173557,0.810852,0.458379,cluster0
530,2,22,6,0,0.007111,132.148.89.252,0.118905,0.930483,0.001379,0.15331,52384,0.796659,root,0,0,1,0.093379,United_States,Scottsdale,0.395576,0.225955,0.903605,0.173557,0.810852,0.458379,cluster0
531,2,22,6,0,0.007158,59.45.175.32,0.016915,0.86682,0.055754,0.513688,56203,0.855902,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
532,2,22,6,0,0.007173,59.45.175.32,0.016915,0.86682,0.055754,0.513688,52868,0.804167,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
533,2,22,6,0,0.007217,59.45.175.32,0.016915,0.86682,0.055754,0.513688,14152,0.203574,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
534,2,22,6,0,0.007229,59.45.175.32,0.016915,0.86682,0.055754,0.513688,38667,0.58387,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
535,2,22,6,0,0.00724,59.45.175.32,0.016915,0.86682,0.055754,0.513688,14381,0.207127,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
536,2,22,6,0,0.007254,59.45.175.32,0.016915,0.86682,0.055754,0.513688,16921,0.246529,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
537,2,22,6,0,0.007334,132.148.89.252,0.118905,0.930483,0.001379,0.15331,57694,0.879031,root,0,0,1,0.093379,United_States,Scottsdale,0.395576,0.225955,0.903605,0.173557,0.810852,0.458379,cluster0
538,2,22,6,0,0.007378,132.148.89.252,0.118905,0.930483,0.001379,0.15331,47174,0.715837,root,0,0,1,0.093379,United_States,Scottsdale,0.395576,0.225955,0.903605,0.173557,0.810852,0.458379,cluster0
539,2,22,6,0,0.007383,121.18.238.98,0.018905,0.870451,0.049891,0.507218,43606,0.660487,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132,cluster0
540,2,22,6,0,0.007385,121.18.238.98,0.018905,0.870451,0.049891,0.507218,46072,0.698742,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132,cluster0
541,2,22,6,0,0.007387,121.18.238.98,0.018905,0.870451,0.049891,0.507218,47582,0.722166,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132,cluster0
542,2,22,6,0,0.00739,121.18.238.98,0.018905,0.870451,0.049891,0.507218,53896,0.820114,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132,cluster0
543,2,22,6,0,0.007392,121.18.238.98,0.018905,0.870451,0.049891,0.507218,59348,0.90469,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132,cluster0
544,2,22,6,0,0.007394,121.18.238.98,0.018905,0.870451,0.049891,0.507218,33239,0.499666,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132,cluster0
545,2,22,6,0,0.007405,212.129.57.106,0.370149,0.967555,0.00046,0.784968,52724,0.801933,admin,0.000494,0.751517,0.041598,0.283103,France,None,0.443277,0.558743,0.008367,0.569861,0.07362,0.60654,cluster1
546,2,22,6,0,0.007406,212.129.57.106,0.370149,0.967555,0.00046,0.784968,53325,0.811256,support,0.001481,0.787373,0.006803,0.868083,France,None,0.443277,0.558743,0.008367,0.569861,0.07362,0.60654,cluster1
547,2,22,6,0,0.007409,212.129.57.106,0.370149,0.967555,0.00046,0.784968,53914,0.820393,root,0,0,1,0.093379,France,None,0.443277,0.558743,0.008367,0.569861,0.07362,0.60654,cluster0
548,2,22,6,0,0.007411,212.129.57.106,0.370149,0.967555,0.00046,0.784968,54408,0.828056,anonymous,0.173333,0.942801,0.000112,0.666502,France,None,0.443277,0.558743,0.008367,0.569861,0.07362,0.60654,cluster1
549,2,22,6,0,0.007413,212.129.57.106,0.370149,0.967555,0.00046,0.784968,55068,0.838295,root,0,0,1,0.093379,France,None,0.443277,0.558743,0.008367,0.569861,0.07362,0.60654,cluster0
550,2,22,6,0,0.007423,132.148.89.252,0.118905,0.930483,0.001379,0.15331,36784,0.554659,root,0,0,1,0.093379,United_States,Scottsdale,0.395576,0.225955,0.903605,0.173557,0.810852,0.458379,cluster0
551,2,22,6,0,0.007443,59.45.175.32,0.016915,0.86682,0.055754,0.513688,58182,0.886602,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
552,2,22,6,0,0.007445,86.96.75.181,0.659701,0.98642,0,0.886013,56445,0.859656,odoo,0.009383,0.847617,0.001808,0.974308,United_Arab_Emirates,Dubai,0.660746,0.031051,0.564957,0.260189,0.758423,0.886944,cluster2
553,2,22,6,0,0.00745,59.45.175.32,0.016915,0.86682,0.055754,0.513688,58182,0.886602,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
554,2,22,6,0,0.007453,59.45.175.32,0.016915,0.86682,0.055754,0.513688,49993,0.759568,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
555,2,22,6,0,0.007454,59.45.175.32,0.016915,0.86682,0.055754,0.513688,49993,0.759568,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
556,2,22,6,0,0.007467,59.45.175.32,0.016915,0.86682,0.055754,0.513688,52305,0.795433,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
557,2,22,6,0,0.007467,89.254.250.38,0.669154,0.986885,0,0.753609,56668,0.863115,root,0,0,1,0.093379,Russian_Federation,Kirov,0.310688,0.631017,0.942353,0.403303,0.694135,0.124815,cluster0
558,2,22,6,0,0.007467,132.148.89.252,0.118905,0.930483,0.001379,0.15331,54600,0.831035,root,0,0,1,0.093379,United_States,Scottsdale,0.395576,0.225955,0.903605,0.173557,0.810852,0.458379,cluster0
559,2,22,6,0,0.007468,59.45.175.32,0.016915,0.86682,0.055754,0.513688,52305,0.795433,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
560,2,22,6,0,0.007511,132.148.89.252,0.118905,0.930483,0.001379,0.15331,44378,0.672463,root,0,0,1,0.093379,United_States,Scottsdale,0.395576,0.225955,0.903605,0.173557,0.810852,0.458379,cluster0
561,2,22,6,0,0.007556,132.148.89.252,0.118905,0.930483,0.001379,0.15331,33906,0.510013,root,0,0,1,0.093379,United_States,Scottsdale,0.395576,0.225955,0.903605,0.173557,0.810852,0.458379,cluster0
562,2,22,6,0,0.007664,59.45.175.32,0.016915,0.86682,0.055754,0.513688,21429,0.316461,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
563,2,22,6,0,0.007678,59.45.175.32,0.016915,0.86682,0.055754,0.513688,29785,0.446085,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
564,2,22,6,0,0.007679,59.45.175.32,0.016915,0.86682,0.055754,0.513688,29785,0.446085,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
565,2,22,6,0,0.007692,59.45.175.32,0.016915,0.86682,0.055754,0.513688,35337,0.532212,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
566,2,22,6,0,0.007693,59.45.175.32,0.016915,0.86682,0.055754,0.513688,35337,0.532212,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
567,2,22,6,0,0.007706,59.45.175.32,0.016915,0.86682,0.055754,0.513688,41873,0.633604,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
568,2,22,6,0,0.007731,221.194.47.211,0.016418,0.865846,0.055868,0.090095,41562,0.628779,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132,cluster0
569,2,22,6,0,0.007734,221.194.47.211,0.016418,0.865846,0.055868,0.090095,45643,0.692087,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132,cluster0
570,2,22,6,0,0.007736,221.194.47.211,0.016418,0.865846,0.055868,0.090095,46739,0.709089,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132,cluster0
571,2,22,7,0,0.007777,132.148.89.252,0.118905,0.930483,0.001379,0.15331,55009,0.83738,root,0,0,1,0.093379,United_States,Scottsdale,0.395576,0.225955,0.903605,0.173557,0.810852,0.458379,cluster0
572,2,23,7,0,0.007898,59.45.175.32,0.016915,0.86682,0.055754,0.513688,44007,0.666708,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
573,2,23,7,0,0.00791,59.45.175.32,0.016915,0.86682,0.055754,0.513688,50102,0.761258,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
574,2,23,7,0,0.007924,59.45.175.32,0.016915,0.86682,0.055754,0.513688,47200,0.71624,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
575,2,23,7,0,0.007945,59.45.175.32,0.016915,0.86682,0.055754,0.513688,47485,0.720661,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
576,2,23,7,0,0.007946,59.45.175.32,0.016915,0.86682,0.055754,0.513688,47485,0.720661,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
577,2,23,7,0,0.007948,121.18.238.104,0.021891,0.875237,0.042993,0.970134,33144,0.498193,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132,cluster0
578,2,23,7,0,0.00795,121.18.238.104,0.021891,0.875237,0.042993,0.970134,35922,0.541287,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132,cluster0
579,2,23,7,0,0.007953,121.18.238.104,0.021891,0.875237,0.042993,0.970134,41157,0.622497,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132,cluster0
580,2,23,7,0,0.007957,121.18.238.104,0.021891,0.875237,0.042993,0.970134,50248,0.763523,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132,cluster0
581,2,23,7,0,0.007958,59.45.175.32,0.016915,0.86682,0.055754,0.513688,39085,0.590354,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
582,2,23,7,0,0.00796,121.18.238.104,0.021891,0.875237,0.042993,0.970134,44836,0.679568,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132,cluster0
583,2,23,7,0,0.007962,121.18.238.104,0.021891,0.875237,0.042993,0.970134,45406,0.68841,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132,cluster0
584,2,23,7,0,0.007965,121.18.238.104,0.021891,0.875237,0.042993,0.970134,48777,0.740704,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132,cluster0
585,2,23,7,0,0.007968,121.18.238.104,0.021891,0.875237,0.042993,0.970134,33218,0.499341,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132,cluster0
586,2,23,7,0,0.007971,121.18.238.104,0.021891,0.875237,0.042993,0.970134,45400,0.688317,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132,cluster0
587,2,23,7,0,0.007973,121.18.238.104,0.021891,0.875237,0.042993,0.970134,45834,0.69505,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132,cluster0
588,2,23,7,0,0.007976,121.18.238.104,0.021891,0.875237,0.042993,0.970134,46001,0.697641,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132,cluster0
589,2,23,7,0,0.008149,59.45.175.32,0.016915,0.86682,0.055754,0.513688,60039,0.915409,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
590,2,23,7,0,0.00815,59.45.175.32,0.016915,0.86682,0.055754,0.513688,60039,0.915409,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
591,2,23,7,0,0.008164,59.45.175.32,0.016915,0.86682,0.055754,0.513688,18816,0.275926,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
592,2,23,7,0,0.008164,59.45.175.32,0.016915,0.86682,0.055754,0.513688,18816,0.275926,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
593,2,23,7,0,0.008177,59.45.175.32,0.016915,0.86682,0.055754,0.513688,35148,0.52928,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
594,2,23,7,0,0.008178,59.45.175.32,0.016915,0.86682,0.055754,0.513688,35148,0.52928,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
595,2,23,7,0,0.008282,59.45.175.66,0.008955,0.846058,0.100241,0.033848,58461,0.89093,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
596,2,23,7,0,0.008285,59.45.175.66,0.008955,0.846058,0.100241,0.033848,44674,0.677055,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
597,2,23,7,0,0.008289,59.45.175.66,0.008955,0.846058,0.100241,0.033848,54112,0.823465,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
598,2,23,7,0,0.008292,59.45.175.66,0.008955,0.846058,0.100241,0.033848,34041,0.512108,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
599,2,23,7,0,0.008295,59.45.175.66,0.008955,0.846058,0.100241,0.033848,49003,0.74421,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
600,2,23,7,0,0.008298,59.45.175.66,0.008955,0.846058,0.100241,0.033848,58054,0.884616,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
601,2,23,7,0,0.008374,59.45.175.32,0.016915,0.86682,0.055754,0.513688,39657,0.599227,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
602,2,23,7,0,0.008375,59.45.175.32,0.016915,0.86682,0.055754,0.513688,39657,0.599227,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
603,2,23,7,0,0.008401,59.45.175.32,0.016915,0.86682,0.055754,0.513688,46620,0.707243,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
604,2,23,7,0,0.008402,59.45.175.32,0.016915,0.86682,0.055754,0.513688,46620,0.707243,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
605,2,23,7,0,0.008417,59.45.175.32,0.016915,0.86682,0.055754,0.513688,18493,0.270915,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
606,2,23,7,0,0.008417,59.45.175.32,0.016915,0.86682,0.055754,0.513688,18493,0.270915,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
607,2,23,7,0,0.00857,59.45.175.56,0.006965,0.837853,0.106679,0.752115,55073,0.838372,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
608,2,23,7,0,0.008573,59.45.175.56,0.006965,0.837853,0.106679,0.752115,39356,0.594558,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
609,2,23,7,0,0.008576,59.45.175.56,0.006965,0.837853,0.106679,0.752115,46607,0.707041,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
610,2,23,7,0,0.008578,59.45.175.56,0.006965,0.837853,0.106679,0.752115,56940,0.867335,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
611,2,23,7,0,0.008582,59.45.175.56,0.006965,0.837853,0.106679,0.752115,37121,0.559887,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
