@relation 'fullCSV.arff_fullCSV.arff-weka.filters.unsupervised.attribute.Remove-V-R20,21,22_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.RemoveWithValues-S4.0-C4-Lfirst-last-V_clustered'

@attribute Instance_number numeric
@attribute DayOfWeek numeric
@attribute TimeOfDay numeric
@attribute HourSinceStart numeric
@attribute DaySinceStart numeric
@attribute ScaledTime numeric
@attribute IP_Address string
@attribute IP_AsRank numeric
@attribute IP_AsScaledRank numeric
@attribute IP_AsAttackCount numeric
@attribute IP_AsRandomInt numeric
@attribute Port numeric
@attribute PortNormalised numeric
@attribute Uname string
@attribute UName_AsRank numeric
@attribute Uname_AsScaledRank numeric
@attribute UName_AsCount numeric
@attribute UName_AsRandomInt numeric
@attribute Country string
@attribute City string
@attribute Loc_X numeric
@attribute Loc_Y numeric
@attribute Loc_Z numeric
@attribute 0.743Loc_Y+0.643Loc_X-0.186Loc_Z numeric
@attribute 0.857Loc_Z+0.476Loc_X-0.198Loc_Y numeric
@attribute '-0.639Loc_Y+0.6  Loc_X-0.481Loc_Z' numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19}

@data
23,2,16,0,0,0.000203,121.18.238.104,0.021891,0.875237,0.042993,0.970134,39892,0.602873,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132,cluster0
24,2,16,0,0,0.000205,121.18.238.104,0.021891,0.875237,0.042993,0.970134,38859,0.586848,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132,cluster0
25,2,16,0,0,0.000207,121.18.238.104,0.021891,0.875237,0.042993,0.970134,38784,0.585685,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132,cluster0
26,2,16,0,0,0.000209,121.18.238.104,0.021891,0.875237,0.042993,0.970134,36029,0.542947,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132,cluster0
27,2,16,0,0,0.000211,121.18.238.104,0.021891,0.875237,0.042993,0.970134,37608,0.567442,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132,cluster0
28,2,16,0,0,0.000214,121.18.238.104,0.021891,0.875237,0.042993,0.970134,39662,0.599305,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132,cluster0
29,2,16,0,0,0.000216,121.18.238.104,0.021891,0.875237,0.042993,0.970134,41000,0.620061,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132,cluster0
30,2,16,0,0,0.000218,121.18.238.104,0.021891,0.875237,0.042993,0.970134,38601,0.582846,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132,cluster0
31,2,16,0,0,0.00022,121.18.238.104,0.021891,0.875237,0.042993,0.970134,38159,0.575989,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132,cluster0
32,2,16,0,0,0.000222,121.18.238.104,0.021891,0.875237,0.042993,0.970134,39988,0.604362,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132,cluster0
33,2,16,0,0,0.000231,116.31.116.38,0,0,1,0.780488,14405,0.207499,root,0,0,1,0.093379,China,Shenzhen,0.281502,0.131181,0.243508,0.117732,0.25498,0.688876,cluster0
34,2,16,0,0,0.000235,221.194.47.249,0.024876,0.87941,0.037705,0.279741,59372,0.905062,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132,cluster0
35,2,16,0,0,0.000238,221.194.47.249,0.024876,0.87941,0.037705,0.279741,59313,0.904147,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132,cluster0
36,2,16,0,0,0.00024,221.194.47.249,0.024876,0.87941,0.037705,0.279741,59463,0.906473,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132,cluster0
37,2,16,0,0,0.000242,221.194.47.249,0.024876,0.87941,0.037705,0.279741,60592,0.923987,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132,cluster0
38,2,16,0,0,0.000244,221.194.47.249,0.024876,0.87941,0.037705,0.279741,36602,0.551836,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132,cluster0
39,2,16,0,0,0.000247,221.194.47.249,0.024876,0.87941,0.037705,0.279741,40329,0.609652,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132,cluster0
40,2,16,0,0,0.000253,116.31.116.38,0,0,1,0.780488,32615,0.489987,root,0,0,1,0.093379,China,Shenzhen,0.281502,0.131181,0.243508,0.117732,0.25498,0.688876,cluster0
41,2,16,0,0,0.000277,116.31.116.38,0,0,1,0.780488,54079,0.822953,root,0,0,1,0.093379,China,Shenzhen,0.281502,0.131181,0.243508,0.117732,0.25498,0.688876,cluster0
