DayOfWeek,TimeOfDay,ScaledTime,IP_Address,IP_AsRank,IP_AsAttackCount,IP_AsRandomInt,Port,PortNormalised,Uname,UName_AsRank,UName_AsCount,UName_AsRandomInt,Country,City,Loc_X,Loc_Y,Loc_Z
2,15,0.0,"""116.31.116.38""",0.1111111111111111,0.6774193548387096,0.0,21416,0.1501388725892892,"""root""",0.0,1.0,0.0,"""China""","""Shenzhen""",0.2815020940173457, 0.13118117234456111, 0.24350836327878017
2,16,0.06510969568294409,"""112.74.63.26""",0.4444444444444444,0.25806451612903225,0.25,50482,0.7186558698118374,"""ubuntu""",0.5,0.0,1.0,"""China""","""Hangzhou""",0.6544076263063051, 0.6530183588808627, 0.051239012794322525
2,16,0.07006369426751592,"""59.45.175.32""",0.0,1.0,0.875,46217,0.6352345186402222,"""root""",0.0,1.0,0.0,"""China""","""Shenyang""",0.6783682212778805, 0.7297727835592216, 0.0946827574387446
2,16,0.07832035857513564,"""59.45.175.32""",0.0,1.0,0.875,50070,0.7105973477291397,"""root""",0.0,1.0,0.0,"""China""","""Shenyang""",0.6783682212778805, 0.7297727835592216, 0.0946827574387446
2,16,0.07879216796414248,"""59.45.175.32""",0.0,1.0,0.875,50070,0.7105973477291397,"""root""",0.0,1.0,0.0,"""China""","""Shenyang""",0.6783682212778805, 0.7297727835592216, 0.0946827574387446
2,16,0.08987968860580325,"""59.45.175.32""",0.0,1.0,0.875,38485,0.4840003129523139,"""root""",0.0,1.0,0.0,"""China""","""Shenyang""",0.6783682212778805, 0.7297727835592216, 0.0946827574387446
2,16,0.09058740268931352,"""59.45.175.32""",0.0,1.0,0.875,38485,0.4840003129523139,"""root""",0.0,1.0,0.0,"""China""","""Shenyang""",0.6783682212778805, 0.7297727835592216, 0.0946827574387446
2,16,0.09860816230242982,"""59.45.175.32""",0.0,1.0,0.875,44900,0.6094746313030552,"""root""",0.0,1.0,0.0,"""China""","""Shenyang""",0.6783682212778805, 0.7297727835592216, 0.0946827574387446
2,16,0.09931587638594008,"""140.206.77.100""",0.8888888888888888,0.0,1.0,64866,1.0,"""root""",0.0,1.0,0.0,"""China""","""Shanghai""",0.29785090399318387, 0.9202141342187209, 0.32017262909361466
2,16,0.1394196744515216,"""221.194.44.224""",0.3333333333333333,0.2903225806451613,0.125,55284,0.8125806830184251,"""root""",0.0,1.0,0.0,"""China""","""Hebei""",0.6660017471541805, 0.26089649171327906, 0.9051746937508105
2,16,0.14130691200754894,"""221.194.44.224""",0.3333333333333333,0.2903225806451613,0.125,56077,0.8280913820756562,"""root""",0.0,1.0,0.0,"""China""","""Hebei""",0.6660017471541805, 0.26089649171327906, 0.9051746937508105
2,16,0.14201462609105922,"""112.74.63.26""",0.4444444444444444,0.25806451612903225,0.25,45252,0.6163595822086609,"""ubuntu""",0.5,0.0,1.0,"""China""","""Hangzhou""",0.6544076263063051, 0.6530183588808627, 0.051239012794322525
2,16,0.14295824486907288,"""221.194.44.224""",0.3333333333333333,0.2903225806451613,0.125,56134,0.8292062746938935,"""root""",0.0,1.0,0.0,"""China""","""Hebei""",0.6660017471541805, 0.26089649171327906, 0.9051746937508105
2,16,0.14484548242510026,"""221.194.44.224""",0.3333333333333333,0.2903225806451613,0.125,59471,0.8944763916598208,"""root""",0.0,1.0,0.0,"""China""","""Hebei""",0.6660017471541805, 0.26089649171327906, 0.9051746937508105
